init_time,track_id,sample,valid_time,lead_time,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2025-09-12 12:00:00,EP132025,25.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,IO032025,25.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,26.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,EP132025,26.0,2025-09-12 18:00:00,0 days 06:00:00,17.36,-102.54,1006.5,28.4,69.82825469970703,1.264892339706421,2.669774293899536,1.1469165086746216,0.852870523929596,0.2020820528268814,0.3388354480266571,0.0690085887908935,0.0,0.0,0.1528431624174118,0.154699444770813,0.11196638
2025-09-12 12:00:00,IO032025,26.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,27.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,EP132025,27.0,2025-09-12 18:00:00,0 days 06:00:00,17.88,-103.31,1006.8,27.0,61.22527694702149,3.090181827545166,7.521608829498291,2.819952964782715,3.3733394145965576,0.8771634101867676,0.5639088749885559,0.0939630344510078,0.2652871906757355,0.1830499321222305,0.3179297745227813,0.2394055128097534,0.13740352
2025-09-12 12:00:00,EP132025,27.0,2025-09-13 00:00:00,0 days 12:00:00,17.32,-103.86,1005.7,28.4,61.22430038452149,0.7462631464004517,3.3270859718322754,1.5268442630767822,0.488179862499237,0.086343802511692,0.0,0.3124567866325378,0.0,0.0,0.0,0.1207810118794441,0.05758748
2025-09-12 12:00:00,IO032025,27.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,28.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,EP132025,28.0,2025-09-12 18:00:00,0 days 06:00:00,16.99,-103.39,1007.0,27.1,111.54302978515624,0.0426059104502201,2.015198945999145,0.19361113011837,1.1847950220108032,0.3759874701499939,0.0,0.0,0.1053473427891731,0.1029710844159126,0.0950474143028259,0.0929310098290443,0.07683337
2025-09-12 12:00:00,IO032025,28.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,29.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,IO032025,29.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
